id;describer;nr;text
1;machen;retour;kompromittieren gewaltig
2;mäandern bequemlichkeitshalber intervenieren;charakterstark gegen Humanismus;prima fern bewältigen
3;vielmehr jetzt;wohlerzogen deshalb;Christentum blass
4;Cholera while drücken;blah Aufzug;prall
5;wherever boo;somit südlich;Imperialismus auf
6;though kontrollieren;indeed engelsgleich;idealiter gee
7;anerkannt nächst;gee mmm Silber;Metaphysik whenever quartalsweise
8;ehrlich;überwintern Rock meinungsstark;hinauf merkwürdigerweise
9;gadzooks ah;wahrhaftig;when Wissenschaftler
10;although;rechts;meanwhile
